"Тема","Дата начала","Время начала","Дата завершения","Время завершения","Ежедневное событие","Оповещение вкл/выкл","Дата оповещения","Время оповещения","В это время","Важность","Описание","Пометка"
"АК Пз 310и ПІ-13-5","23.02.2015","07:45:00","23.02.2015","09:20:00","Ложь","Истина","23.02.2015","07:40:00","2","Обычная","АК Пз 310и ПІ-13-5","Обычный"
"АК Пз 308и ПІ-13-5","02.03.2015","07:45:00","02.03.2015","09:20:00","Ложь","Истина","02.03.2015","07:40:00","2","Обычная","АК Пз 308и ПІ-13-5","Обычный"
"ОJava Лб 365 ПІ-13-5","16.03.2015","07:45:00","16.03.2015","09:20:00","Ложь","Истина","16.03.2015","07:40:00","2","Обычная","ОJava Лб 365 ПІ-13-5","Обычный"
"ОJava Конс 365 ПІ-13-5","23.03.2015","07:45:00","23.03.2015","09:20:00","Ложь","Истина","23.03.2015","07:40:00","2","Обычная","ОJava Конс 365 ПІ-13-5","Обычный"
"АК Пз 308и ПІ-13-5","30.03.2015","07:45:00","30.03.2015","09:20:00","Ложь","Истина","30.03.2015","07:40:00","2","Обычная","АК Пз 308и ПІ-13-5","Обычный"
"ОJava Лб 365 ПІ-13-5","06.04.2015","07:45:00","06.04.2015","09:20:00","Ложь","Истина","06.04.2015","07:40:00","2","Обычная","ОJava Лб 365 ПІ-13-5","Обычный"
"АК Пз 308и ПІ-13-5","20.04.2015","07:45:00","20.04.2015","09:20:00","Ложь","Истина","20.04.2015","07:40:00","2","Обычная","АК Пз 308и ПІ-13-5","Обычный"
"ОJava Лб 365 ПІ-13-5","27.04.2015","07:45:00","27.04.2015","09:20:00","Ложь","Истина","27.04.2015","07:40:00","2","Обычная","ОJava Лб 365 ПІ-13-5","Обычный"
"Філ Пз 313и ПІ-13-5","04.05.2015","07:45:00","04.05.2015","09:20:00","Ложь","Истина","04.05.2015","07:40:00","2","Обычная","Філ Пз 313и ПІ-13-5","Обычный"
"ОJava Лб 365 ПІ-13-5","11.05.2015","07:45:00","11.05.2015","09:20:00","Ложь","Истина","11.05.2015","07:40:00","2","Обычная","ОJava Лб 365 ПІ-13-5","Обычный"
"Філ Пз 411и ПІ-13-5","18.05.2015","07:45:00","18.05.2015","09:20:00","Ложь","Истина","18.05.2015","07:40:00","2","Обычная","Філ Пз 411и ПІ-13-5","Обычный"
"ОJava Лб 365 ПІ-13-5","25.05.2015","07:45:00","25.05.2015","09:20:00","Ложь","Истина","25.05.2015","07:40:00","2","Обычная","ОJava Лб 365 ПІ-13-5","Обычный"
"Філ Пз ФІЛІЯ_1 ПІ-13-5","09.02.2015","09:30:00","09.02.2015","11:05:00","Ложь","Истина","09.02.2015","09:25:00","2","Обычная","Філ Пз ФІЛІЯ_1 ПІ-13-5","Обычный"
"КПЗ Пз 308и ПІ-13-5","23.02.2015","09:30:00","23.02.2015","11:05:00","Ложь","Истина","23.02.2015","09:25:00","2","Обычная","КПЗ Пз 308и ПІ-13-5","Обычный"
"Філ Пз 208и ПІ-13-5","02.03.2015","09:30:00","02.03.2015","11:05:00","Ложь","Истина","02.03.2015","09:25:00","2","Обычная","Філ Пз 208и ПІ-13-5","Обычный"
"ОJava Лб 365 ПІ-13-5","16.03.2015","09:30:00","16.03.2015","11:05:00","Ложь","Истина","16.03.2015","09:25:00","2","Обычная","ОJava Лб 365 ПІ-13-5","Обычный"
"АК Пз 308и ПІ-13-5","23.03.2015","09:30:00","23.03.2015","11:05:00","Ложь","Истина","23.03.2015","09:25:00","2","Обычная","АК Пз 308и ПІ-13-5","Обычный"
"Філ Конс 404и ПІ-13-5","30.03.2015","09:30:00","30.03.2015","11:05:00","Ложь","Истина","30.03.2015","09:25:00","2","Обычная","Філ Конс 404и ПІ-13-5","Обычный"
"ОJava Лб 365 ПІ-13-5","06.04.2015","09:30:00","06.04.2015","11:05:00","Ложь","Истина","06.04.2015","09:25:00","2","Обычная","ОJava Лб 365 ПІ-13-5","Обычный"
"Філ Пз 411и ПІ-13-5","20.04.2015","09:30:00","20.04.2015","11:05:00","Ложь","Истина","20.04.2015","09:25:00","2","Обычная","Філ Пз 411и ПІ-13-5","Обычный"
"ОJava Лб 365 ПІ-13-5","27.04.2015","09:30:00","27.04.2015","11:05:00","Ложь","Истина","27.04.2015","09:25:00","2","Обычная","ОJava Лб 365 ПІ-13-5","Обычный"
"Філ Конс 404и ПІ-13-5","04.05.2015","09:30:00","04.05.2015","11:05:00","Ложь","Истина","04.05.2015","09:25:00","2","Обычная","Філ Конс 404и ПІ-13-5","Обычный"
"ОJava Лб 365 ПІ-13-5","11.05.2015","09:30:00","11.05.2015","11:05:00","Ложь","Истина","11.05.2015","09:25:00","2","Обычная","ОJava Лб 365 ПІ-13-5","Обычный"
"АК Конс 310и ПІ-13-5","18.05.2015","09:30:00","18.05.2015","11:05:00","Ложь","Истина","18.05.2015","09:25:00","2","Обычная","АК Конс 310и ПІ-13-5","Обычный"
"ОJava Лб 365 ПІ-13-5","25.05.2015","09:30:00","25.05.2015","11:05:00","Ложь","Истина","25.05.2015","09:25:00","2","Обычная","ОJava Лб 365 ПІ-13-5","Обычный"
"Філ Лк ФІЛІЯ_1 ПІ-13-1,2,3,4,5,6","02.02.2015","11:15:00","02.02.2015","12:50:00","Ложь","Истина","02.02.2015","11:10:00","2","Обычная","Філ Лк ФІЛІЯ_1 ПІ-13-1,2,3,4,5,6","Обычный"
"БД Лк ФІЛІЯ_1 ПІ-13-1,2,3,4,5,6","09.02.2015","11:15:00","09.02.2015","12:50:00","Ложь","Истина","09.02.2015","11:10:00","2","Обычная","БД Лк ФІЛІЯ_1 ПІ-13-1,2,3,4,5,6","Обычный"
"Філ Лк 424 ПІ-13-1,2,3,4,5,6","16.02.2015","11:15:00","16.02.2015","12:50:00","Ложь","Истина","16.02.2015","11:10:00","2","Обычная","Філ Лк 424 ПІ-13-1,2,3,4,5,6","Обычный"
"Філ Лк 424 ПІ-13-1,2,3,4,5,6","23.02.2015","11:15:00","23.02.2015","12:50:00","Ложь","Истина","23.02.2015","11:10:00","2","Обычная","Філ Лк 424 ПІ-13-1,2,3,4,5,6","Обычный"
